marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
REFISAL,Sal Refinada REFISAL 1000 Gr,2150,1000,2.15,gr,despensa
FRESCAMPO,Lenteja FRESCAMPO 500 Gr,3500,500,7,gr,despensa
SELLO ROJO,CAFE MOLIDO LAMINADO SELLO ROJO 500 Gr,17000,500,34,gr,despensa
CARULLA,Atun Lomo Agua CARULLA 170 Gr,5080,111,45.97,gr,despensa
LA CORUNA,Vinagre Blanco La Coruña X 500 Ml,4000,500,8,ML,despensa
PREMIER,Aceite De Girasol Premier X 1000 Ml,19200,1000,19.2,ML,despensa
PAN,HARINA MAIZ BLANCA PAN 1000 Gr,5300,1000,5.3,gr,despensa
CORONA,CHOCOLATE 16 PASTILLAS CORONA 500 Gr,5810,500,11.62,gr,despensa
DIANA,Arroz 1K DIANA 1000 Gr,5000,1000,5,gr,despensa
FRESCAMPO,Bicarbonato De Sodio FRESCAMPO 500 Gr,3400,500,6.8,gr,despensa
SALTIN NOEL,GALLETAS TACO EXTRALARGO SALTIN NOEL 300 Gr,4800,300,16,gr,despensa
VAN CAMPS,Atún Baby En Aceite De Oliva VAN CAMPS 240 Gr,16100,156,103.21,gr,despensa
DIANA,Arroz Premium DIANA 2500 Gr,19100,2500,7.64,gr,despensa
MANUELITA,Azucar Alta Pureza MANUELITA 1000 Gr,5800,1000,5.8,gr,despensa
BARILLA MARCA EXCLUSIVA,Spaghetti. BARILLA MARCA EXCLUSIVA 500 Gr,6750,500,13.5,gr,despensa
BARILLA MARCA EXCLUSIVA,Salsa Pasta Napolitana. BARILLA MARCA EXCLUSIVA 400 Gr,10200,400,25.5,gr,despensa
HAZ DE OROS,Harina De Trigo HAZ DE OROS 500 Gr,2900,500,5.8,gr,despensa
CASTELLANO,Arroz Premium CASTELLANO 2500 Gr,28800,2500,11.52,gr,despensa
HACIENDA GUZMAN MARCA EXCLUSIV,ACEITE DE OLIVA EXTRA VIRGEN HACIENDA GUZMAN MARCA EXCLUSIV 2000 Cm3,81900,2000,40.95,Cm3,despensa
CLUB SOCIAL,Galletas Original CLUB SOCIAL 234 Gr,5400,234,23.08,gr,despensa
FRESCAMPO,Frijol Bola Roja FRESCAMPO 500 Gr,8100,500,16.2,gr,despensa
REFISAL,Sal Marina REFISAL 800 Gr,5300,799,6.63,gr,despensa
SALTIN NOEL,GALLETAS X 6 TACOS SALTIN NOEL 531 Gr,6400,531,12.05,gr,despensa
CASTELLANO,Arroz Premuim CASTELLANO 1000 Gr,11000,1000,11,gr,despensa
GOURMET,Aceite Familia Multiusos GOURMET 900 Ml,19750,900,21.94,ML,despensa
FRESCAMPO,Lenteja FRESCAMPO 1000 Gr,7800,1000,7.8,gr,despensa
AUNT JEMIMA,Pancake Solo Leche AUNT JEMIMA 600 Gr,10500,600,17.5,gr,despensa
SAN JORGE,Duo Maiz Tierno SAN JORGE 380 Gr,12400,230,53.91,gr,despensa
DUCALES,GALLETAS X 4 TACOS DUCALES 484 Gr,9400,484,19.42,gr,despensa
DIANA,Arroz Vitamor 3Kg DIANA 3000 Gr,16000,3002,5.33,gr,despensa
DIANA,Arroz Premium DIANA 1000 Gr,7500,1000,7.5,gr,despensa
MANUELITA,Azucar Morena MANUELITA 1000 Gr,5800,1000,5.8,gr,despensa
CLUB SOCIAL,Galletas Integral CLUB SOCIAL 234 Gr,4500,234,19.23,gr,despensa
SALTIN NOEL,GALLETA INDIVIDUAL 9x4 SALTIN NOEL 216 Gr,4320,216,20,gr,despensa
CANOLA LIFE,Aceite De Canola Canola Life X 1000 Ml,21200,1000,21.2,ML,despensa
MAGGI,CALDO DE GALLINA X 12 CUBOS MAGGI 132 Gr,5900,132,44.7,gr,despensa
TOT,MAIZ PIRA AMERICANO TOT 500 Gr,4000,500,8,gr,despensa
BARILLA MARCA EXCLUSIVA,Pasta Fusilli. BARILLA MARCA EXCLUSIVA 500 Gr,8250,500,16.5,gr,despensa
FRUCO,Salsa De Tomate Fruco Doypack X 400 Gr,8800,400,22,gr,despensa
QUAKER,AVENA EN HOJUELAS QUAKER 400 Gr,5300,400,13.25,gr,despensa
FRESCAMPO,Aceite Vegetal FRESCAMPO 3000 Ml,27520,3001,9.17,ML,despensa
DONA PEPA,Arroz Parborizado DONA PEPA 1000 Gr,8300,1000,8.3,gr,despensa
MONTICELLO,SPAGUETTI PREMIUM MONTICELLO 500 Gr,8400,500,16.8,gr,despensa
MONTICELLO,PASTA PENNE RIGATTE MONTICELLO 500 Gr,8300,500,16.6,gr,despensa
CARULLA,Aceite De Oliva Extra Virgen CARULLA 1000 Ml,44200,1000,44.2,ML,despensa
AUNT JEMIMA,PANCAKE ORIGINAL AUNT JEMIMA 600 Gr,10500,600,17.5,gr,despensa
HACIENDA GUZMAN MARCA EXCLUSIV,ACEITE OLIVA ESPANOL EX.VIRGEN HACIENDA GUZMAN MARCA EXCLUSIV 1000 Cm3,46500,1000,46.5,Cm3,despensa
NESCAFE,Cafe Instantaneo Tradición NESCAFE 170 Gr,18320,170,107.76,gr,despensa
BARILLA MARCA EXCLUSIVA,Salsa Pasta Basilica. BARILLA MARCA EXCLUSIVA 400 Gr,10200,400,25.5,gr,despensa
QUAKER,Of Avena Hojuelas Extraconteni QUAKER 960 Gr,11900,960,12.4,gr,despensa
JUAN VALDEZ,CAFE MOLIDO BALANCEADO COLINA JUAN VALDEZ 340 Gr,32100,340,94.41,gr,despensa
HACIENDA GUZMAN MARCA EXCLUSIV,ACEITE OLIVA ESPANOL EX.VIRGEN HACIENDA GUZMAN MARCA EXCLUSIV 500 Cm3,23300,500,46.6,Cm3,despensa
MANUELITA,Azucar Alta Pureza MANUELITA 2000 Gr,9500,2000,4.75,gr,despensa
VAN CAMPS,Atún Lomitos En Agua VAN CAMPS 160 Gr,8600,104,82.69,gr,despensa
OMA,Cafe Molido Tradicion Colombia OMA 500 Gr,20700,500,41.4,gr,despensa
FRESCAMPO,Garbanzo FRESCAMPO 500 Gr,4100,500,8.2,gr,despensa
SALTIN NOEL,GALLETAS X 4 TACOS SALTIN NOEL 354 Gr,4880,354,13.79,gr,despensa
CAFE QUINDIO,CAFE MOLIDO EXCELSO CAFE QUINDIO 500 Gr,37200,500,74.4,gr,despensa
AJI-NO-MEN,SOPA INSTANT FIDEOS POLLO AJINOMEN 80 Gr,3000,80,37.5,gr,despensa
FRESCAMPO,Aceite Vegetal FRESCAMPO 900 Ml,10900,900,12.11,ML,despensa
FRUCO,Salsa De Tomate FRUCO 1000 Gr,13900,1000,13.9,gr,despensa
CARULLA,Cafe Molido CARULLA 500 Gr,13510,500,27.02,gr,despensa
DORIA,Pasta Clásica Spaghetti X 250 Gr,2400,250,9.6,gr,despensa
EL REY,CHAPETA CANELA ASTILLA 11g EL REY 11 Gr,2700,11,245.45,gr,despensa
CARULLA,Aceite Girasol CARULLA 900 Ml,15000,900,16.67,ML,despensa
VAN CAMPS,Atún En Aceite De Oliva VAN CAMPS 160 Gr,10500,104,100.96,gr,despensa
PREMIER,Aceite De Girasol Premier X 2000 Ml,30080,2000,15.04,ML,despensa
CONZAZONI,PASTA PENNE RIGATE CONZAZONI 500 Gr,8650,500,17.3,gr,despensa
HAZ DE OROS,HARINA DE TRIGO BASE CUADRADA HAZ DE OROS 1000 Gr,5900,1000,5.9,gr,despensa
FRESCAMPO,Frijol Caraota FRESCAMPO 500 Gr,3900,500,7.8,gr,despensa
FRUCO,Salsa De Tomate Fruco Doypack X 600 Gr,12700,600,21.17,gr,despensa
FLOR HUILA,Arroz Blanco FLOR HUILA 3000 Gr,14900,2998,4.97,gr,despensa
SALTIN NOEL,GALLETAS DOBLE FIBRA SALTIN NOEL 415 Gr,5810,415,14,gr,despensa
LA ABEJA DORADA,MIEL LA ABEJA DORADA LA ABEJA DORADA 350 Gr,11900,350,34,gr,despensa
MATIZ,CAFE AMBAR MOLIDO BALANCEADO MATIZ 340 Gr,17920,340,52.71,gr,despensa
VAN CAMPS,Atún Lomitos Agua Fourpack VAN CAMPS 640 Gr,34400,416,82.69,gr,despensa
FRESCAMPO,Frijol Cargamanto Blanco FRESCAMPO 500 Gr,8800,500,17.6,gr,despensa
SAN JORGE,Maiz Tierno SAN JORGE 300 Gr,11100,180,61.67,gr,despensa
MANUELITA,Azucar Morena X 2 Kg,10400,2000,5.2,gr,despensa
ZENU,FRIJOL ANTIOQUENO ZENU 310 Gr,4880,310,15.74,gr,despensa
FRESCAMPO,Aromática Manzanilla FRESCAMPO 15 Gr,2400,15,160,gr,despensa
FRESCAMPO,Tomates Enteros Pelados FRESCAMPO 400 Gr,5400,240,22.5,gr,despensa
INSTACREM,Sobres INSTACREM 430 Gr,14500,430,33.72,gr,despensa
MONTICELLO,FUSILLII PREMIUM MONTICELLO 500 Gr,5810,500,11.62,gr,despensa
FRESCAMPO,Durazno En Almibar FRESCAMPO 820 Gr,9990,470,21.26,gr,despensa
BARILLA MARCA EXCLUSIVA,Salsa Pesto Genovesa. BARILLA MARCA EXCLUSIVA 190 Gr,14625,190,76.97,gr,despensa
FRUCO,Vinagre Blanco FRUCO 500 Ml,7600,500,15.2,ML,despensa
CAFE QUINDIO,CAFE GOURMET GRANO CAFE QUINDIO 500 Gr,36200,500,72.4,gr,despensa
TAEQ,Aceite De Oliva Taeq Extravirgen X 500 Ml,27900,500,55.8,ML,despensa
TWININGS,Infusion De Limon Jengibre X 10 U,10700,15,713.33,gr,despensa
DON PANCHO,Avena Hojuela Extra Conte DON PANCHO 1200 Gr,11200,1200,9.33,gr,despensa
DUCALES,GALLETAS X 2 TACOS DUCALES 294 Gr,7000,294,23.81,gr,despensa
OMA,Cafe Molido Linea Selecta OMA 500 Gr,29700,500,59.4,gr,despensa
VAN CAMPS,Lomitos De Atún Claro Tripack VAN CAMPS 240 Gr,14550,156,93.27,gr,despensa
WHY NOT,AVENA HOJUELAS LIBRE GLUTEN WHY NOT 1000 Gr,24200,1000,24.2,gr,despensa
NESCAFE,Cafe Instantaneo Tradición NESCAFE 85 Gr,12240,85,144,gr,despensa
TOSH,GRANOLA CHOCOLATE TOSH 500 Gr,19900,500,39.8,gr,despensa
RIOPAILA,Azucar Blanca RIOPAILA 1000 Gr,4400,1000,4.4,gr,despensa
CARULLA,Arroz Blanco CARULLA 5000 Gr,19560,5003,3.91,gr,despensa
FRESCAMPO,Avena En Hojuelas FRESCAMPO 500 Gr,3900,500,7.8,gr,despensa
PROVIDENCIA,Azucar Organica PROVIDENCIA 850 Gr,5600,850,6.59,gr,despensa
ROA,Arroz Blanco Fortif 3Kg ROA 3000 Gr,13700,2998,4.57,gr,despensa
MAGGI,CALDO DE GALLINA 24 CUBOS MAGGI 264 Gr,11000,264,41.67,gr,despensa
MESA BAJA,Panela Pulverizada X 500 Gr,6700,500,13.4,gr,despensa
CORONA,Chocolate De Mesa Delicatto CORONA 142 Gr,4240,142,29.86,gr,despensa
LA CORUNA,PASTA DE TOMATE LA CORUNA 250 Gr,5600,250,22.4,gr,despensa
CHOCOLYNE,Chocolate CHOCOLYNE 200 Gr,10100,200,50.5,gr,despensa
DIANA,Arroz Premium DIANA 4000 Gr,33000,4000,8.25,gr,despensa
FRESCAMPO,Frijol Cargamanto Rosado FRESCAMPO 500 Gr,9000,500,18,gr,despensa
LUKAFE,Cafe Tostado Y Molido Intenso X 500 G,19200,500,38.4,gr,despensa
DUCALES,GALLETAS X 9 PAQTES DUCALES 243 Gr,5400,243,22.22,gr,despensa
NESCAFE,Cafe Instantaneo Tradición NESCAFE 231 Gr,23200,231,100.43,gr,despensa
REFISAL,Sal Vital Doy Pac REFISAL 500 Gr,10100,500,20.2,gr,despensa
ZENU,ARVEJA CON ZANAHORIA LATA ZENU 300 Gr,4080,190,21.47,gr,despensa
DORIA,Pasta Corriente Fideos DORIA 500 Gr,4700,500,9.4,gr,despensa
SOL,CHOCOLATE 50% MENOS AZÚCAR SOL 320 Gr,8100,320,25.31,gr,despensa
CARULLA,Azucar Moreno CARULLA 1000 Gr,4700,1000,4.7,gr,despensa
