marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
REFISAL,Sal Refinada REFISAL 1000 gr,1950,1000,1.95,gr,despensa
FRESCAMPO,Lenteja FRESCAMPO 500 gr,3680,500,7.36,gr,despensa
DORIA,Pasta Clásica Spaghetti X 1000 gr,4410,1000,4.41,gr,despensa
FRESCAMPO,Aceite Vegetal FRESCAMPO 3000 ml,24980,2999,8.33,ML,despensa
CORONA,CHOCOLATE 16 PASTILLAS CORONA 500 gr,5950,500,11.9,gr,despensa
SALTIN NOEL,GALLETAS X 6 TACOS SALTIN NOEL 531 gr,5808,531,10.94,gr,despensa
COCA COLA,Gaseosa Original COCA COLA 6000 ml,13350,5987,2.23,ML,despensa
EXITO MARCA PROPIA,Atun Lomo Agua EXITO MARCA PROPIA 170 gr,5580,110,50.5,gr,despensa
FRESCAMPO,Aceite Vegetal FRESCAMPO 900 ml,7980,900,8.87,ML,despensa
PONY MALTA,SIXPACK BEBIDA DE MALTA MINI PONY MALTA 1200 ml,4746,1198,3.96,ML,despensa
DUCALES,GALLETAS X 4 TACOS DUCALES 484 gr,8990,484,18.57,gr,despensa
COLANTA,Queso Crema X 400 Gramos COLANTA 400 gr,10450,400,26.13,gr,despensa
PAN,HARINA MAIZ BLANCA PAN 1000 gr,4990,1000,4.99,gr,despensa
DUCALES,GALLETAS X 6 TACOS DUCALES 728 gr,13350,728,18.34,gr,despensa
HAZ DE OROS,Harina De Trigo HAZ DE OROS 500 gr,2470,500,4.94,gr,despensa
FRESCAMPO,Frijol Zaragoza FRESCAMPO 500 gr,3890,500,7.78,gr,despensa
EXITO MARCA PROPIA,Azucar Blanca EXITO MARCA PROPIA 2500 gr,12210,2502,4.88,gr,despensa
CLUB SOCIAL,Galletas Original CLUB SOCIAL 234 gr,4117,234,17.59,gr,despensa
DIANA,Arroz Vitamor 3Kg DIANA 3000 gr,13500,3000,4.5,gr,despensa
EXITO MARCA PROPIA,Arroz Blanco EXITO MARCA PROPIA 3000 gr,11700,3000,3.9,gr,despensa
FRESCAMPO,Lenteja FRESCAMPO 1000 gr,7770,1000,7.77,gr,despensa
COCA COLA,Gaseosa Original COCA COLA 1500 ml,9030,1500,6.02,ML,despensa
SELLO ROJO,Cafe Molido,14800,400,37,gr,despensa
COLANTA,Queso Crema COLANTA 230 gr,5600,230,24.35,gr,despensa
EKONO,Panela Cuadrada EKONO 400 gr,1690,400,4.23,gr,despensa
NESCAFE,Cafe Instantaneo Tradición NESCAFE 170 gr,16840,170,99.06,gr,despensa
LA ESPECIAL,CHOCOLATE AZUCAR PASTILLAS LA ESPECIAL 500 gr,6500,500,13,gr,despensa
DORIA,Pasta Clásica Spaghetti X 250 gr,2330,250,9.32,gr,despensa
COCA COLA,Gaseosa Original COCA COLA 3000 ml,9050,2997,3.02,ML,despensa
MANUELITA,Azucar Alta Pureza MANUELITA 1000 gr,4590,1000,4.59,gr,despensa
FRESCAMPO,Garbanzo FRESCAMPO 500 gr,3440,500,6.88,gr,despensa
FRESCAMPO,Maiz Pira FRESCAMPO 500 gr,2490,500,4.98,gr,despensa
POWERADE,Bebida Hidratante Surtido POWERADE 1500 ml,5080,1499,3.39,ML,despensa
DORIA,Pasta Clásica Tornillos X 250 gr,2060,250,8.24,gr,despensa
COCA COLA,BEBIDA GASEOSA ORIGINAL MED COCA COLA 1500 ml,5230,1499,3.49,ML,despensa
MANUELITA,Azucar Morena MANUELITA 1000 gr,4590,1000,4.59,gr,despensa
DORIA,Pasta Cor/Nte Cabello De Angel DORIA 250 gr,2060,250,8.24,gr,despensa
FRESCAMPO,Frijol Bola Roja FRESCAMPO 500 gr,9000,500,18,gr,despensa
DONAREPA,Harina Blanca Perlada DONAREPA 1000 gr,4930,1000,4.93,gr,despensa
HIT,Oferta Pague 10 lleve 12 Tetra HIT 2000 ml,11600,2000,5.8,ML,despensa
PONY MALTA,Bebida de Malta PONY MALTA 1000 ml,2247,999,2.25,ML,despensa
MAGGI,CALDO DE GALLINA X 12 CUBOS MAGGI 132 gr,5600,132,42.42,gr,despensa
EXITO MARCA PROPIA,Azucar Blanca EXITO MARCA PROPIA 1000 gr,4390,1000,4.39,gr,despensa
DEL VALLE,Jugo Frutal Surtido DEL VALLE 2256 ml,9570,2257,4.24,ML,despensa
COCA COLA,Gaseosa COCA COLA Sabor Original + QUATRO 3000ml,11800,5990,1.97,ML,despensa
SONORA,Arroz Blanco SONORA 3000 gr,13770,3000,4.59,gr,despensa
PONY MALTA,Malta botella pet 6 und PONY MALTA 330 ml,8645,1978,4.37,ML,despensa
MANUELITA,Azucar Alta Pureza MANUELITA 2000 gr,8990,1998,4.5,gr,despensa
EXITO MARCA PROPIA,Aceite Girasol Refinado EXITO MARCA PROPIA 900 ml,12480,900,13.87,ML,despensa
PAN,HARINA MAIZ BLANCA PAN 500 gr,2690,500,5.38,gr,despensa
OLEOCALI,Aceite de girasol oleocali x 900 ml,14100,900,15.67,ML,despensa
MILO,Modificador de Leche MILO 500 gr,15800,500,31.6,gr,despensa
EXITO MARCA PROPIA,Aceite de oliva exito extravirgen x 500 ml,13300,500,26.6,ML,despensa
REGIONAL EP,Panela REGIONAL EP 835 gr,4000,835,4.79,gr,despensa
AREPASAN,HARINA PRECOCIDA MAIZ BLANCO AREPASAN 1000 gr,4980,1000,4.98,gr,despensa
FRESCAMPO,Bicarbonato De Sodio FRESCAMPO 500 gr,2880,500,5.76,gr,despensa
FRESCAMPO,Gelatina FresaUvaFruto Rojos FRESCAMPO 120 gr,2770,120,23.08,gr,despensa
CORONA,Chocolate Con Azucar 20Pastila CORONA 500 gr,6936,500,13.87,gr,despensa
DORIA,Pasta Clásica Macarron X 250 gr,2060,250,8.24,gr,despensa
SELLO ROJO,CAFE MOLIDO SELLO ROJO 250 gr,8750,250,35,gr,despensa
CLUB SOCIAL,Galletas Integral CLUB SOCIAL 234 gr,4492,234,19.2,gr,despensa
COLANTA,Mantequilla Colanta sin Sal Barra x 250 gr,12250,250,49,gr,despensa
FRESCAMPO,Arveja Verde FRESCAMPO 500 gr,2140,500,4.28,gr,despensa
EKONO,SALSA DE TOMATE EKONO 500 gr,3500,500,7,gr,despensa
FRESCAMPO,Frijol Cargamanto Blanco FRESCAMPO 500 gr,4990,500,9.98,gr,despensa
QUATRO,Gaseosa Toronja Original QUATRO 1500 ml,3520,1498,2.35,ML,despensa
TOSTAO,Cafe Tostado Mol. Selecto TOSTAO 454 gr,12560,454,27.67,gr,despensa
HIT,Oferta Refresco Pague 5 lleve HIT 1000 ml,5380,1000,5.38,ML,despensa
DIANA,Arroz Blanco Arroba DIANA 12500 gr,54830,12490,4.39,gr,despensa
IN CAUCA,Azucar Morena In Cauca 2500 gr,13600,2500,5.44,gr,despensa
MAIZENA,NATILLA AREQUIPE MAIZENA 300 gr,8030,300,26.77,gr,despensa
DIANA,Arroz Vitamor DIANA 5000 gr,22500,5000,4.5,gr,despensa
POSTOBON,Duo Supergigante POSTOBON 6250 ml,9060,6248,1.45,ML,despensa
SAN JORGE,Duo Maiz Tierno SAN JORGE 380 gr,11200,230,48.7,gr,despensa
NESCAFE,Cafe Instantaneo Tradición NESCAFE 231 gr,20880,231,90.39,gr,despensa
COCA COLA,Gaseosa COCA COLA Sabor Original + SPRITE 3000ml,12250,6005,2.04,ML,despensa
LA FINA,MARGARINA LB 4 BARRAS LA FINA 500 gr,10300,500,20.6,gr,despensa
SELLO ROJO,Café Fuerte Tostado Y Molido X 600 gr,20700,600,34.5,gr,despensa
ZENU,Lomo Atun Aceite Girasol ZENU 160 gr,4319,104,41.53,gr,despensa
RIQUISIMO,Aceite vegetal riquisimo x 1000 ml,12150,1000,12.15,ML,despensa
ZERO,Gaseosa Sin Azúcar ZERO 5000 ml,8085,4991,1.62,ML,despensa
SALTINAS,GALLETA ORIGINAL SALTINAS 530 gr,7460,530,14.08,gr,despensa
EXITO MARCA PROPIA,Atun Lomo Aceite EXITO MARCA PROPIA 170 gr,5480,111,49.59,gr,despensa
DIANA,Arroz 1K DIANA 1000 gr,4530,1000,4.53,gr,despensa
LA MUNECA,PASTA SPAGUETTI LA MUNECA 1000 gr,6600,1000,6.6,gr,despensa
SALTIN NOEL,GALLETA ORIGINAL X 5 TACOS SALTIN NOEL 500 gr,6900,500,13.8,gr,despensa
ROA,Arroz Blanco Fortif 3Kg ROA 3000 gr,13200,3000,4.4,gr,despensa
BIMBO,Tortillas Blancas Medianas x 15 unidades,12400,450,27.56,gr,despensa
PONY MALTA,Malta botella pet PONY MALTA 1.5 L,3206,1498,2.14,ML,despensa
COLCAFE,Cafe instantaneo clasico COLCAFE 170 gr,21850,170,128.53,gr,despensa
CRISTAL,Agua Cristal 24 Pack Pet x 300 ml,12900,7207,1.79,ML,despensa
EXITO MARCA PROPIA,Cafe Molido EXITO MARCA PROPIA 500 gr,13240,500,26.48,gr,despensa
QUATRO,Gaseosa Toronja Original QUATRO 400 ml,1950,400,4.88,ML,despensa
EL REY,CHAPETA CANELA ASTILLA 11g EL REY 11 gr,2620,11,238.18,gr,despensa
ALPINA,Mantequilla sin sal bloque ALPINA 125 gr,7220,125,57.76,gr,despensa
MAGGI,OF CDO DESMENUZAD P12LLE14 MAGGI 108 gr,5420,108,50.19,gr,despensa
SONORA,Arroz Blanco SONORA 5000 gr,23000,5000,4.6,gr,despensa
NESCAFE,Cafe Instantaneo Tradición NESCAFE 85 gr,12040,85,141.65,gr,despensa
FRESCAMPO,Frijol Caraota FRESCAMPO 500 gr,3240,500,6.48,gr,despensa
DEL VALLE,Jugo Fresh Frutas Cítricas DEL VALLE 5000 ml,8610,5006,1.72,ML,despensa
FRESCAMPO,PASTA ESPAGUETI FRESCAMPO 250 gr,1340,250,5.36,gr,despensa
DORIA,Pasta Corriente Conchitas DORIA 250 gr,2060,250,8.24,gr,despensa
MONTICELLO,PASTA PENNE RIGATTE MONTICELLO 500 gr,7510,500,15.02,gr,despensa
GATORADE,Bebida hidratante frutas tropicales GATORADE 500 Mililitro,3040,500,6.08,ML,despensa
CHOCOLYNE,Chocolate CHOCOLYNE 200 gr,8480,200,42.4,gr,despensa
AUNT JEMIMA,Pancake Solo Leche AUNT JEMIMA 600 gr,10250,600,17.08,gr,despensa
RICOSTILLA,Desmen Costil Pag10 Llv12 Unid RICOSTILLA 90 gr,4530,90,50.33,gr,despensa
CHOCOLISTO,BEBIDA ACHOCOLATADA AHORRAPACK CHOCOLISTO 1000 gr,15000,1000,15,gr,despensa
RAMA,Esparcible C/Sal Mesa y Cocina RAMA 440 gr,12250,440,27.84,gr,despensa
FRESCAMPO,Aromática Manzanilla FRESCAMPO 15 gr,2190,15,146,gr,despensa
EL REY,Color EL REY 55 gr,1360,55,24.73,gr,despensa
CORONA,Chocolate Clavos Y Canel CORONA 500 gr,6480,500,12.96,gr,despensa
BRISA,Agua Saborizada Gas Manzana BRISA 1.5 ml,3140,1502,2.09,ML,despensa
RIQUISIMO,Aceite de grasas trans riquísimo x 3000 ml,34000,3001,11.33,ML,despensa
ALPINA,Queso Crema Cremosino Vaso ALPINA 380 gr,9990,380,26.29,gr,despensa
AJI-NO-MEN,SOPA INSTANT FIDEOS POLLO AJINOMEN 80 gr,2870,80,35.88,gr,despensa
MILO,Modificador de Leche MILO 250 gr,8800,250,35.2,gr,despensa
INCAUCA,Azucar Blanco INCAUCA 2500 gr,11650,2500,4.66,gr,despensa
ZERO,Gaseosa Sin Azúcar ZERO 3000 ml,5831,3006,1.94,ML,despensa
QUATRO,Gaseosa Toronja Sin Azúcar QUATRO 1500 ml,2260,1497,1.51,ML,despensa
DON PANCHO,Avena Hojuela Extra Conte DON PANCHO 1200 gr,10650,1199,8.88,gr,despensa
AGUILA ROJA,Cafe Molido AGUILA ROJA 500 gr,16000,500,32,gr,despensa
MONTICELLO,SPAGUETTI PREMIUM MONTICELLO 500 gr,7380,500,14.76,gr,despensa
ZENU,Atun Tripack Aceite Oliva ZENU 240 gr,10840,156,69.49,gr,despensa
VAN CAMPS,Atún lomitos agua fourpack VAN CAMPS 640 gr,31950,416,76.8,gr,despensa
HIT,Refresco Mango Pet HIT 500 Mililitro,2360,500,4.72,ML,despensa
FRUCO,Salsa de Tomate Fruco doypack x 400 gr,8200,400,20.5,gr,despensa
RAMA,ESPARCIBLE BARRA RAMA 125 gr,2620,125,20.96,gr,despensa
BRETANA,Soda Bretaña Duo Pack x 1500 ml c.u,8190,3000,2.73,ML,despensa
COCA COLA,Bebida Gaseosa Sin Azucar COCA COLA 1500 ml,7270,1499,4.85,ML,despensa
COMARRICO,Fideo Clasica COMARRICO 454 gr,2630,454,5.79,gr,despensa
H2O,Agua Saborizada H2Oh Lima Limón Pet x 1500 ml,3720,1500,2.48,ML,despensa
