marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
REFISAL,Sal Refisal bolsa x1000g,2390,1000,2.39,gr,despensa
RIQUISIMO,Aceite Riquisimo garrafa x3000ml,35590,4288,8.3,ml,despensa
OLEOCALI,Aceite Oleocali garrafa x3000ml,35790,4286,8.35,ml,despensa
DORIA,Pasta Clásica Spaghetti Doria x 1000 g.,6990,900,7.77,gr,despensa
PAN,Harina PAN maíz blanco x1000g,5190,1000,5.19,gr,despensa
PREMIER,Aceite Premier girasol garrafa x3000ml,51590,4285,12.04,ml,despensa
DIANA,Lenteja Diana x500g,4690,500,9.38,gr,despensa
CUISINE & CO NBE MP,Arroz Cuisine&Co blanco x10000g,43590,9998,4.36,gr,despensa
CUISINE & CO NBE MP,Lenteja Cuisine&Co x500g,4290,500,8.58,gr,despensa
DONAREPA,Harina Doñarepa extrafina maíz blanco x1000g,4890,1000,4.89,gr,despensa
MANUELITA,Azúcar Manuelita alta pureza x2.5kg,11390,2498,4.56,gr,despensa
VAN CAMPS,Atún En Aceite Van Camps x 160g x 4und,33990,520,65.37,gr,despensa
VAN CAMPS,Atún En Agua Van Camps x 160g x 4und,31990,520,61.52,gr,despensa
OLEOCALI,Aceite Oleocali girasol x3000ml,47990,4285,11.2,ml,despensa
DIANA,Arroz Diana blanco x5kg,23490,4998,4.7,gr,despensa
CORONA,Chocolate Corona resellable x500g,7990,606,13.18,gr,despensa
MARITZA,Lenteja Maritza premium x500g,4290,500,8.58,gr,despensa
NESCAFE,Café Nescafé Tradición instantáneo x170g,21990,213,103.48,gr,despensa
AGUILA ROJA,Café Águila Roja x500g,16450,500,32.9,gr,despensa
RIOPAILA,Azúcar Riopaila blanca x2500g,11390,2498,4.56,gr,despensa
DIANA,Arroz Diana blanco x10kg,46790,10707,4.37,gr,despensa
MARITZA,Lenteja Maritza premium x1000g,8290,1000,8.29,gr,despensa
RIQUISIMO,Aceite Riquisimo x1000ml,12390,1429,8.67,ml,despensa
SUPREMO,Arroz Supremo Vitarroz Plus x10kg,49990,9998,5,gr,despensa
MANUELITA,Azúcar Manuelita morena x2.5kg,11390,2498,4.56,gr,despensa
DIANA,Arroz Diana blanco x3kg,14290,3263,4.38,gr,despensa
DIANA,Frijol Diana bola roja x500g,11990,500,23.98,gr,despensa
DORIA,Pasta Clásica Cabello de Ángel Doria x 250 g.,2590,250,10.36,gr,despensa
CUISINE & CO NBE MP,Frijol Cuisine&Co zaragoza x500g,4490,500,8.98,gr,despensa
CUISINE & CO NBE MP,Garbanzo Cuisine&Co x500g,3990,500,7.98,gr,despensa
CUISINE & CO NBE MP,Frijol Cuisine&Co bola roja x500g,9390,500,18.78,gr,despensa
LA NIEVE,Harina de trigo La Nieve x500g,1750,500,3.5,gr,despensa
LA ESPECIAL,Chocolate La Especial 16 pastillas x500g,7790,500,15.58,gr,despensa
LA NOCAIMERA,Panela La Nocaimera pastilla x1000g,6390,1000,6.39,gr,despensa
CUISINE & CO NBE MP,Vinagre Cuisine&Co blanco x4000ml,14790,3997,3.7,ml,despensa
RIOPAILA,Azúcar Riopaila blanca x1000g,4590,1000,4.59,gr,despensa
OLEOSANDER,Aceite Oleosander x3000ml,29890,3001,9.96,ml,despensa
DIANA,Arroz Diana blanco x1kg,4890,1000,4.89,gr,despensa
DIANA,Arroz Diana blanco x25und x500g c-u,52850,12494,4.23,gr,despensa
VAN CAMPS,Atún Aceite Oliva 3und x 80g Van Camps,15590,195,79.95,gr,despensa
FRUCO,Salsa Fruco de tomate doypack x1kg,16590,1429,11.61,gr,despensa
LUKAFE,Café Lukafe intenso x500g,18590,500,37.18,gr,despensa
ROA,Arroz Roa x10kg,45990,9998,4.6,gr,despensa
HAZ DE OROS,Harina de trigo Haz De Oros tradicional x500g,2890,500,5.78,gr,despensa
DORIA,Pasta Clásica Macarrón Corto Doria x 250 g.,2450,250,9.8,gr,despensa
CUISINE & CO NBE MP,Arroz Cuisine&Co blanco x5000g,21890,4998,4.38,gr,despensa
QUAKER,Avena Quaker hojuelas original x800g gratis160g,13590,800,16.99,gr,despensa
LA MUNECA,Pasta Spaghetti Pastas La muñeca x1000g,6990,1000,6.99,gr,despensa
REFISAL,Sal marina Refisal bolsa x800g,3890,800,4.86,gr,despensa
TONING,Avena Toning en hojuelas x1000g,8990,1250,7.19,gr,despensa
YBARRA,Aceite Ybarra oliva extra virgen x3L,79990,3000,26.66,ml,despensa
CUISINE & CO NBE MP,Atún Cuisine&Co lomo aceite soya x4und x160g c-u,25990,416,62.48,gr,despensa
RIQUISIMO,Aceite Riquisimo garrafa x5000ml,58990,7142,8.26,ml,despensa
MONTICELLO,Pastas Monticello penne rigate x 500 g.,7590,500,15.18,gr,despensa
SUPREMO,Arroz Supremo x5kg,24990,4998,5,gr,despensa
DORIA,Pasta Clásica Fideo Doria x 500 g.,4690,500,9.38,gr,despensa
MARITZA,Garbanzo Maritza premium x500g,4290,500,8.58,gr,despensa
SOL,Chocolate Sol x500g,7990,500,15.98,gr,despensa
DIANA,Arroz Diana Premium blanco x4000g,27690,4001,6.92,gr,despensa
DORIA,Pasta Clásica Spaghetti Doria x 250 g.,2590,250,10.36,gr,despensa
MILO,Alimento Milo en polvo bolsa x500g,21590,500,43.18,gr,despensa
SOL,Chocolate Sol bajo azúcar cero colesterol x16und x320g,9390,320,29.34,gr,despensa
SELLO ROJO,Café Sello Rojo Tradicional x600g,20990,712,29.48,gr,despensa
PREMIER,Aceite Premier girasol frasco x1000ml,18990,1429,13.29,ml,despensa
YBARRA,Aceite Ybarra oliva extra virgen x1L,30990,1429,21.69,ml,despensa
FONCE,Panela Fonce pastilla x900g,7590,900,8.43,gr,despensa
